1780910908590|ns=1;s=Sensor_1389|61.0
1780910914339|ns=2;s=Sensor_1522|68.21833
1780910914388|ns=2;s=Sensor_199|17.0
1780910914438|ns=1;s=Sensor_1578|18.899082
1780910914488|ns=2;s=Sensor_1012|99.65221
1780910914538|ns=2;s=Sensor_1597|37.0
1780910914598|ns=1;s=Sensor_1683|92.0
1780910914645|ns=1;s=Sensor_102|18.041557
1780910914692|ns=3;s=Sensor_779|5.0
1780910914740|ns=1;s=Sensor_1485|55.0
1780910914802|ns=1;s=Sensor_582|57.341583
1780910914849|ns=2;s=Sensor_1942|41.99294
1780910914896|ns=3;s=Sensor_341|18.0
1780910914943|ns=1;s=Sensor_618|6.4545155
1780910914991|ns=1;s=Sensor_810|27.497112
1780910915052|ns=2;s=Sensor_355|48.0
1780910915098|ns=2;s=Sensor_82|11.666065
1780910915146|ns=2;s=Sensor_1408|94.518776
1780910915192|ns=3;s=Sensor_1814|19.621075
1780910915239|ns=2;s=Sensor_1960|91.574745
1780910915301|ns=2;s=Sensor_550|84.740295
1780910915347|ns=2;s=Sensor_1180|1.7146885
1780910915394|ns=3;s=Sensor_86|17.130941
1780910915440|ns=1;s=Sensor_1749|85.0
1780910915503|ns=2;s=Sensor_901|56.0
1780910915550|ns=1;s=Sensor_717|3.0
1780910915597|ns=2;s=Sensor_40|49.201096
1780910915645|ns=2;s=Sensor_697|28.0
1780910915694|ns=3;s=Sensor_1958|17.321032
1780910915739|ns=1;s=Sensor_84|29.023903
1780910915801|ns=2;s=Sensor_796|51.29422
1780910915847|ns=1;s=Sensor_39|57.0
1780910915895|ns=3;s=Sensor_1313|14.0
1780910915940|ns=3;s=Sensor_1475|46.0
1780910915989|ns=1;s=Sensor_387|78.0
1780910916051|ns=3;s=Sensor_1841|57.0
1780910916097|ns=1;s=Sensor_240|45.27787
1780910916142|ns=2;s=Sensor_1393|65.0
1780910916190|ns=1;s=Sensor_1617|75.0
1780910916252|ns=1;s=Sensor_960|83.28622
1780910916298|ns=3;s=Sensor_113|77.0
1780910916345|ns=1;s=Sensor_1461|95.0
1780910916392|ns=2;s=Sensor_475|9.0
1780910916438|ns=2;s=Sensor_1849|36.0
1780910916501|ns=3;s=Sensor_977|16.0
1780910916548|ns=2;s=Sensor_1702|19.93032
1780910916594|ns=1;s=Sensor_489|7.0
1780910916641|ns=3;s=Sensor_8|66.22936
1780910916703|ns=3;s=Sensor_674|81.57931
1780910916749|ns=2;s=Sensor_1585|6.0
1780910916797|ns=3;s=Sensor_644|79.996315
1780910916843|ns=2;s=Sensor_1417|74.0
1780910916889|ns=1;s=Sensor_1605|42.0
1780910916958|ns=2;s=Sensor_322|78.487015
1780910916999|ns=1;s=Sensor_1464|95.47823
1780910917045|ns=1;s=Sensor_729|50.0
1780910917092|ns=1;s=Sensor_1905|95.0
1780910917139|ns=2;s=Sensor_1528|38.67485
1780910917201|ns=3;s=Sensor_1859|32.0
1780910917247|ns=2;s=Sensor_1849|78.0
1780910917294|ns=2;s=Sensor_970|41.395218
1780910917341|ns=2;s=Sensor_1813|2.0
1780910917403|ns=1;s=Sensor_1668|23.269701
1780910917449|ns=3;s=Sensor_683|13.0
1780910917497|ns=1;s=Sensor_1593|40.0
1780910917545|ns=1;s=Sensor_108|97.140976
1780910917591|ns=2;s=Sensor_940|6.1694503
1780910917639|ns=3;s=Sensor_722|58.465004
1780910917701|ns=3;s=Sensor_1658|7.6838675
1780910917748|ns=2;s=Sensor_385|37.0
1780910917795|ns=1;s=Sensor_768|38.04614
1780910917841|ns=3;s=Sensor_1622|73.84202
1780910917888|ns=1;s=Sensor_1977|80.0
1780910917950|ns=1;s=Sensor_1020|44.43833
1780910917997|ns=3;s=Sensor_980|19.17687
1780910918043|ns=2;s=Sensor_829|63.0
1780910918090|ns=2;s=Sensor_1012|63.88018
1780910918151|ns=2;s=Sensor_1765|64.0
1780910918197|ns=2;s=Sensor_1201|19.0
1780910918244|ns=2;s=Sensor_1459|29.0
1780910918290|ns=2;s=Sensor_1675|57.0
1780910918353|ns=3;s=Sensor_1001|80.0
1780910918400|ns=3;s=Sensor_1823|73.0
1780910918448|ns=1;s=Sensor_1314|68.216866
1780910918495|ns=1;s=Sensor_1347|4.0
1780910918542|ns=1;s=Sensor_243|14.0
1780910918589|ns=2;s=Sensor_91|4.0
1780910918652|ns=1;s=Sensor_618|15.832925
1780910918699|ns=2;s=Sensor_958|47.970657
1780910918745|ns=3;s=Sensor_1811|17.0
1780910918793|ns=3;s=Sensor_1586|63.451797
1780910918841|ns=3;s=Sensor_1418|80.61981
1780910918889|ns=1;s=Sensor_867|4.0
1780910918951|ns=3;s=Sensor_314|87.75699
1780910918998|ns=2;s=Sensor_931|51.0
1780910919045|ns=3;s=Sensor_644|8.325851
1780910919092|ns=1;s=Sensor_1596|99.31868
1780910919140|ns=2;s=Sensor_1627|94.0
1780910919201|ns=1;s=Sensor_273|27.0
1780910919247|ns=1;s=Sensor_492|54.091297
1780910919293|ns=3;s=Sensor_1634|71.08456
1780910919339|ns=3;s=Sensor_92|38.36691
1780910919401|ns=2;s=Sensor_1774|79.180916
1780910919447|ns=2;s=Sensor_73|55.0
1780910919495|ns=1;s=Sensor_1155|83.0
1780910919541|ns=1;s=Sensor_114|91.600746
1780910919603|ns=1;s=Sensor_993|65.0
1780910919650|ns=1;s=Sensor_771|96.0
1780910919696|ns=2;s=Sensor_124|97.34684
1780910919743|ns=1;s=Sensor_1272|43.38513
1780910919789|ns=1;s=Sensor_1488|77.65628
1780910919853|ns=3;s=Sensor_434|90.532455
1780910919900|ns=2;s=Sensor_1279|79.0
1780910919947|ns=2;s=Sensor_1528|82.824875
1780910919994|ns=1;s=Sensor_1542|49.311127
1780910920041|ns=3;s=Sensor_485|85.0
1780910920088|ns=3;s=Sensor_1742|26.03091
1780910920151|ns=1;s=Sensor_879|33.0
1780910920197|ns=3;s=Sensor_1118|80.932396
1780910920243|ns=2;s=Sensor_1336|98.09291
1780910920290|ns=1;s=Sensor_333|97.0
1780910920352|ns=1;s=Sensor_429|31.0
1780910920399|ns=1;s=Sensor_1557|6.0
1780910920446|ns=3;s=Sensor_476|94.81592
1780910920492|ns=2;s=Sensor_643|75.0
1780910920538|ns=3;s=Sensor_1394|57.086384
ticket_3;тест1;vip;5000;40;0;[ВСЕ БИЛЕТЫ РАСПРОДАНЫ]
